trial0004790, ZIC, 5629, 16, 351.812500, ZIP, 4287, 16, 267.937500, 
trial0004791, ZIC, 4519, 16, 282.437500, ZIP, 5362, 16, 335.125000, 
trial0004792, ZIC, 2401, 16, 150.062500, ZIP, 7829, 16, 489.312500, 
trial0004793, ZIC, 4392, 16, 274.500000, ZIP, 5720, 16, 357.500000, 
trial0004794, ZIC, 5298, 16, 331.125000, ZIP, 5039, 16, 314.937500, 
trial0004795, ZIC, 4971, 16, 310.687500, ZIP, 4906, 16, 306.625000, 
trial0004796, ZIC, 4887, 16, 305.437500, ZIP, 5166, 16, 322.875000, 
trial0004797, ZIC, 3831, 16, 239.437500, ZIP, 6685, 16, 417.812500, 
trial0004798, ZIC, 2342, 16, 146.375000, ZIP, 7916, 16, 494.750000, 
trial0004799, ZIC, 2990, 16, 186.875000, ZIP, 6835, 16, 427.187500, 
trial0004800, ZIC, 4239, 16, 264.937500, ZIP, 5719, 16, 357.437500, 
