trial0000223, AA, 2305, 20, 115.250000, GDX, 1655, 20, 82.750000, 
trial0000224, AA, 2235, 20, 111.750000, GDX, 1886, 20, 94.300000, 
trial0000225, AA, 1846, 20, 92.300000, GDX, 2223, 20, 111.150000, 
trial0000226, AA, 2743, 20, 137.150000, GDX, 1219, 20, 60.950000, 
trial0000227, AA, 1874, 20, 93.700000, GDX, 1881, 20, 94.050000, 
trial0000228, AA, 1851, 20, 92.550000, GDX, 2205, 20, 110.250000, 
trial0000229, AA, 2322, 20, 116.100000, GDX, 1693, 20, 84.650000, 
trial0000230, AA, 1918, 20, 95.900000, GDX, 1814, 20, 90.700000, 
trial0000231, AA, 2246, 20, 112.300000, GDX, 1468, 20, 73.400000, 
trial0000232, AA, 1392, 20, 69.600000, GDX, 2426, 20, 121.300000, 
trial0000233, AA, 2382, 20, 119.100000, GDX, 1461, 20, 73.050000, 
trial0000234, AA, 2479, 20, 123.950000, GDX, 1095, 20, 54.750000, 
trial0000235, AA, 2514, 20, 125.700000, GDX, 1266, 20, 63.300000, 
trial0000236, AA, 2113, 20, 105.650000, GDX, 1495, 20, 74.750000, 
trial0000237, AA, 2551, 20, 127.550000, GDX, 1123, 20, 56.150000, 
trial0000238, AA, 1870, 20, 93.500000, GDX, 1921, 20, 96.050000, 
trial0000239, AA, 1524, 20, 76.200000, GDX, 2003, 20, 100.150000, 
trial0000240, AA, 2102, 20, 105.100000, GDX, 1622, 20, 81.100000, 
trial0000241, AA, 3055, 20, 152.750000, GDX, 968, 20, 48.400000, 
trial0000242, AA, 2764, 20, 138.200000, GDX, 1116, 20, 55.800000, 
trial0000243, AA, 1853, 20, 92.650000, GDX, 1778, 20, 88.900000, 
trial0000244, AA, 2046, 20, 102.300000, GDX, 1807, 20, 90.350000, 
trial0000245, AA, 2274, 20, 113.700000, GDX, 1567, 20, 78.350000, 
trial0000246, AA, 2300, 20, 115.000000, GDX, 1253, 20, 62.650000, 
trial0000247, AA, 2271, 20, 113.550000, GDX, 1657, 20, 82.850000, 
trial0000248, AA, 2152, 20, 107.600000, GDX, 1516, 20, 75.800000, 
trial0000249, AA, 1635, 20, 81.750000, GDX, 2092, 20, 104.600000, 
trial0000250, AA, 1686, 20, 84.300000, GDX, 1866, 20, 93.300000, 
trial0000251, AA, 1653, 20, 82.650000, GDX, 2226, 20, 111.300000, 
trial0000252, AA, 1847, 20, 92.350000, GDX, 1896, 20, 94.800000, 
trial0000253, AA, 2662, 20, 133.100000, GDX, 1343, 20, 67.150000, 
trial0000254, AA, 2276, 20, 113.800000, GDX, 1314, 20, 65.700000, 
trial0000255, AA, 2762, 20, 138.100000, GDX, 1055, 20, 52.750000, 
trial0000256, AA, 1965, 20, 98.250000, GDX, 1855, 20, 92.750000, 
trial0000257, AA, 2482, 20, 124.100000, GDX, 1499, 20, 74.950000, 
trial0000258, AA, 2763, 20, 138.150000, GDX, 1114, 20, 55.700000, 
trial0000259, AA, 2083, 20, 104.150000, GDX, 1811, 20, 90.550000, 
trial0000260, AA, 2460, 20, 123.000000, GDX, 1546, 20, 77.300000, 
trial0000261, AA, 2727, 20, 136.350000, GDX, 1270, 20, 63.500000, 
trial0000262, AA, 2209, 20, 110.450000, GDX, 1758, 20, 87.900000, 
trial0000263, AA, 1992, 20, 99.600000, GDX, 1532, 20, 76.600000, 
trial0000264, AA, 2128, 20, 106.400000, GDX, 1276, 20, 63.800000, 
trial0000265, AA, 2308, 20, 115.400000, GDX, 1758, 20, 87.900000, 
trial0000266, AA, 1215, 20, 60.750000, GDX, 2494, 20, 124.700000, 
trial0000267, AA, 2085, 20, 104.250000, GDX, 1809, 20, 90.450000, 
trial0000268, AA, 2834, 20, 141.700000, GDX, 1144, 20, 57.200000, 
trial0000269, AA, 2071, 20, 103.550000, GDX, 1851, 20, 92.550000, 
