trial0001185, AA, 1800, 14, 128.571429, GDX, 2214, 14, 158.142857, ZIC, 3386, 14, 241.857143, 
trial0001186, AA, 3540, 14, 252.857143, GDX, 1593, 14, 113.785714, ZIC, 2645, 14, 188.928571, 
trial0001187, AA, 1885, 14, 134.642857, GDX, 2288, 14, 163.428571, ZIC, 3010, 14, 215.000000, 
trial0001188, AA, 3047, 14, 217.642857, GDX, 3585, 14, 256.071429, ZIC, 1312, 14, 93.714286, 
trial0001189, AA, 3357, 14, 239.785714, GDX, 1492, 14, 106.571429, ZIC, 2602, 14, 185.857143, 
trial0001190, AA, 2878, 14, 205.571429, GDX, 2953, 14, 210.928571, ZIC, 1823, 14, 130.214286, 
trial0001191, AA, 2585, 14, 184.642857, GDX, 2062, 14, 147.285714, ZIC, 2516, 14, 179.714286, 
trial0001192, AA, 2264, 14, 161.714286, GDX, 3878, 14, 277.000000, ZIC, 1655, 14, 118.214286, 
trial0001193, AA, 3732, 14, 266.571429, GDX, 2592, 14, 185.142857, ZIC, 1643, 14, 117.357143, 
trial0001194, AA, 3287, 14, 234.785714, GDX, 2381, 14, 170.071429, ZIC, 2038, 14, 145.571429, 
trial0001195, AA, 3693, 14, 263.785714, GDX, 2369, 14, 169.214286, ZIC, 1433, 14, 102.357143, 
trial0001196, AA, 2830, 14, 202.142857, GDX, 3280, 14, 234.285714, ZIC, 1381, 14, 98.642857, 
trial0001197, AA, 1894, 14, 135.285714, GDX, 3057, 14, 218.357143, ZIC, 2176, 14, 155.428571, 
trial0001198, AA, 5400, 14, 385.714286, GDX, 1323, 14, 94.500000, ZIC, 1352, 14, 96.571429, 
trial0001199, AA, 2480, 14, 177.142857, GDX, 3137, 14, 224.071429, ZIC, 926, 14, 66.142857, 
trial0001200, AA, 3722, 14, 265.857143, GDX, 961, 14, 68.642857, ZIC, 3127, 14, 223.357143, 
trial0001201, AA, 3748, 14, 267.714286, GDX, 4186, 14, 299.000000, ZIC, 1422, 14, 101.571429, 
trial0001202, AA, 2831, 14, 202.214286, GDX, 1489, 14, 106.357143, ZIC, 4220, 14, 301.428571, 
trial0001203, AA, 4426, 14, 316.142857, GDX, 3931, 14, 280.785714, ZIC, 902, 14, 64.428571, 
trial0001204, AA, 2782, 14, 198.714286, GDX, 3455, 14, 246.785714, ZIC, 2285, 14, 163.214286, 
trial0001205, AA, 3594, 14, 256.714286, GDX, 3515, 14, 251.071429, ZIC, 2329, 14, 166.357143, 
trial0001206, AA, 1126, 14, 80.428571, GDX, 3325, 14, 237.500000, ZIC, 3775, 14, 269.642857, 
trial0001207, AA, 4260, 14, 304.285714, GDX, 2123, 14, 151.642857, ZIC, 2175, 14, 155.357143, 
trial0001208, AA, 2534, 14, 181.000000, GDX, 1793, 14, 128.071429, ZIC, 4227, 14, 301.928571, 
trial0001209, AA, 3562, 14, 254.428571, GDX, 1834, 14, 131.000000, ZIC, 3159, 14, 225.642857, 
trial0001210, AA, 3744, 14, 267.428571, GDX, 2308, 14, 164.857143, ZIC, 2645, 14, 188.928571, 
trial0001211, AA, 2340, 14, 167.142857, GDX, 3213, 14, 229.500000, ZIC, 2972, 14, 212.285714, 
trial0001212, AA, 3832, 14, 273.714286, GDX, 1987, 14, 141.928571, ZIC, 3321, 14, 237.214286, 
trial0001213, AA, 3733, 14, 266.642857, GDX, 1751, 14, 125.071429, ZIC, 3663, 14, 261.642857, 
trial0001214, AA, 4923, 14, 351.642857, GDX, 3532, 14, 252.285714, ZIC, 1458, 14, 104.142857, 
trial0001215, AA, 2431, 14, 173.642857, GDX, 4362, 14, 311.571429, ZIC, 2292, 14, 163.714286, 
trial0001216, AA, 1422, 14, 101.571429, GDX, 4154, 14, 296.714286, ZIC, 2489, 14, 177.785714, 
trial0001217, AA, 714, 14, 51.000000, GDX, 4239, 14, 302.785714, ZIC, 3692, 14, 263.714286, 
trial0001218, AA, 2336, 14, 166.857143, GDX, 2624, 14, 187.428571, ZIC, 3621, 14, 258.642857, 
trial0001219, AA, 2110, 14, 150.714286, GDX, 3621, 14, 258.642857, ZIC, 2872, 14, 205.142857, 
trial0001220, AA, 5063, 14, 361.642857, GDX, 3060, 14, 218.571429, ZIC, 1052, 14, 75.142857, 
trial0001221, AA, 2843, 14, 203.071429, GDX, 3034, 14, 216.714286, ZIC, 2465, 14, 176.071429, 
trial0001222, AA, 3979, 14, 284.214286, GDX, 2883, 14, 205.928571, ZIC, 2201, 14, 157.214286, 
trial0001223, AA, 3085, 14, 220.357143, GDX, 3635, 14, 259.642857, ZIC, 2723, 14, 194.500000, 
trial0001224, AA, 3761, 14, 268.642857, GDX, 3099, 14, 221.357143, ZIC, 1903, 14, 135.928571, 
trial0001225, AA, 4034, 14, 288.142857, GDX, 1482, 14, 105.857143, ZIC, 3362, 14, 240.142857, 
trial0001226, AA, 2488, 14, 177.714286, GDX, 2634, 14, 188.142857, ZIC, 3756, 14, 268.285714, 
trial0001227, AA, 3501, 14, 250.071429, GDX, 3058, 14, 218.428571, ZIC, 2158, 14, 154.142857, 
trial0001228, AA, 1705, 14, 121.785714, GDX, 4529, 14, 323.500000, ZIC, 1796, 14, 128.285714, 
trial0001229, AA, 1990, 14, 142.142857, GDX, 4204, 14, 300.285714, ZIC, 2542, 14, 181.571429, 
trial0001230, AA, 3054, 14, 218.142857, GDX, 1801, 14, 128.642857, ZIC, 4063, 14, 290.214286, 
trial0001231, AA, 2941, 14, 210.071429, GDX, 3730, 14, 266.428571, ZIC, 1791, 14, 127.928571, 
trial0001232, AA, 3332, 14, 238.000000, GDX, 3484, 14, 248.857143, ZIC, 2090, 14, 149.285714, 
trial0001233, AA, 4274, 14, 305.285714, GDX, 2117, 14, 151.214286, ZIC, 2534, 14, 181.000000, 
trial0001234, AA, 2029, 14, 144.928571, GDX, 2738, 14, 195.571429, ZIC, 3313, 14, 236.642857, 
trial0001235, AA, 4066, 14, 290.428571, GDX, 2292, 14, 163.714286, ZIC, 2885, 14, 206.071429, 
trial0001236, AA, 2313, 14, 165.214286, GDX, 3951, 14, 282.214286, ZIC, 2472, 14, 176.571429, 
trial0001237, AA, 2932, 14, 209.428571, GDX, 3734, 14, 266.714286, ZIC, 2017, 14, 144.071429, 
