trial0001212, AA, 5250, 38, 138.157895, ZIP, 36, 2, 18.000000, 
trial0001213, AA, 5114, 38, 134.578947, ZIP, 4, 2, 2.000000, 
trial0001214, AA, 4952, 38, 130.315789, ZIP, 183, 2, 91.500000, 
trial0001215, AA, 4824, 38, 126.947368, ZIP, 276, 2, 138.000000, 
trial0001216, AA, 4791, 38, 126.078947, ZIP, 436, 2, 218.000000, 
trial0001217, AA, 4953, 38, 130.342105, ZIP, 352, 2, 176.000000, 
trial0001218, AA, 5059, 38, 133.131579, ZIP, 167, 2, 83.500000, 
trial0001219, AA, 4681, 38, 123.184211, ZIP, 456, 2, 228.000000, 
trial0001220, AA, 5213, 38, 137.184211, ZIP, 74, 2, 37.000000, 
trial0001221, AA, 4707, 38, 123.868421, ZIP, 531, 2, 265.500000, 
trial0001222, AA, 5157, 38, 135.710526, ZIP, 96, 2, 48.000000, 
trial0001223, AA, 4649, 38, 122.342105, ZIP, 354, 2, 177.000000, 
trial0001224, AA, 5180, 38, 136.315789, ZIP, 48, 2, 24.000000, 
trial0001225, AA, 4841, 38, 127.394737, ZIP, 462, 2, 231.000000, 
trial0001226, AA, 5051, 38, 132.921053, ZIP, 213, 2, 106.500000, 
trial0001227, AA, 4909, 38, 129.184211, ZIP, 439, 2, 219.500000, 
trial0001228, AA, 4833, 38, 127.184211, ZIP, 398, 2, 199.000000, 
trial0001229, AA, 4837, 38, 127.289474, ZIP, 346, 2, 173.000000, 
trial0001230, AA, 4793, 38, 126.131579, ZIP, 356, 2, 178.000000, 
trial0001231, AA, 4211, 38, 110.815789, ZIP, 1023, 2, 511.500000, 
trial0001232, AA, 5184, 38, 136.421053, ZIP, 0, 2, 0.000000, 
trial0001233, AA, 4940, 38, 130.000000, ZIP, 299, 2, 149.500000, 
trial0001234, AA, 5193, 38, 136.657895, ZIP, 16, 2, 8.000000, 
trial0001235, AA, 4743, 38, 124.815789, ZIP, 396, 2, 198.000000, 
trial0001236, AA, 4979, 38, 131.026316, ZIP, 126, 2, 63.000000, 
trial0001237, AA, 4742, 38, 124.789474, ZIP, 440, 2, 220.000000, 
trial0001238, AA, 4975, 38, 130.921053, ZIP, 372, 2, 186.000000, 
trial0001239, AA, 4714, 38, 124.052632, ZIP, 304, 2, 152.000000, 
trial0001240, AA, 5379, 38, 141.552632, ZIP, 8, 2, 4.000000, 
trial0001241, AA, 5009, 38, 131.815789, ZIP, 249, 2, 124.500000, 
trial0001242, AA, 4663, 38, 122.710526, ZIP, 431, 2, 215.500000, 
trial0001243, AA, 4947, 38, 130.184211, ZIP, 405, 2, 202.500000, 
trial0001244, AA, 4816, 38, 126.736842, ZIP, 506, 2, 253.000000, 
trial0001245, AA, 4725, 38, 124.342105, ZIP, 375, 2, 187.500000, 
trial0001246, AA, 5092, 38, 134.000000, ZIP, 161, 2, 80.500000, 
trial0001247, AA, 5112, 38, 134.526316, ZIP, 65, 2, 32.500000, 
trial0001248, AA, 5204, 38, 136.947368, ZIP, 85, 2, 42.500000, 
trial0001249, AA, 4957, 38, 130.447368, ZIP, 443, 2, 221.500000, 
trial0001250, AA, 5115, 38, 134.605263, ZIP, 0, 2, 0.000000, 
trial0001251, AA, 4876, 38, 128.315789, ZIP, 241, 2, 120.500000, 
trial0001252, AA, 4604, 38, 121.157895, ZIP, 762, 2, 381.000000, 
trial0001253, AA, 4995, 38, 131.447368, ZIP, 43, 2, 21.500000, 
trial0001254, AA, 4580, 38, 120.526316, ZIP, 679, 2, 339.500000, 
trial0001255, AA, 4679, 38, 123.131579, ZIP, 472, 2, 236.000000, 
trial0001256, AA, 5030, 38, 132.368421, ZIP, 219, 2, 109.500000, 
trial0001257, AA, 4939, 38, 129.973684, ZIP, 265, 2, 132.500000, 
trial0001258, AA, 5145, 38, 135.394737, ZIP, 62, 2, 31.000000, 
trial0001259, AA, 4679, 38, 123.131579, ZIP, 432, 2, 216.000000, 
trial0001260, AA, 4877, 38, 128.342105, ZIP, 294, 2, 147.000000, 
trial0001261, AA, 5121, 38, 134.763158, ZIP, 23, 2, 11.500000, 
trial0001262, AA, 4368, 38, 114.947368, ZIP, 733, 2, 366.500000, 
trial0001263, AA, 4413, 38, 116.131579, ZIP, 764, 2, 382.000000, 
trial0001264, AA, 4789, 38, 126.026316, ZIP, 579, 2, 289.500000, 
trial0001265, AA, 4305, 38, 113.289474, ZIP, 867, 2, 433.500000, 
trial0001266, AA, 5091, 38, 133.973684, ZIP, 141, 2, 70.500000, 
trial0001267, AA, 4951, 38, 130.289474, ZIP, 271, 2, 135.500000, 
trial0001268, AA, 5068, 38, 133.368421, ZIP, 196, 2, 98.000000, 
trial0001269, AA, 4375, 38, 115.131579, ZIP, 794, 2, 397.000000, 
trial0001270, AA, 4680, 38, 123.157895, ZIP, 385, 2, 192.500000, 
