trial0000199, AA, 3200, 14, 228.571429, GDX, 3928, 14, 280.571429, ZIP, 4737, 14, 338.357143, 
trial0000200, AA, 4357, 14, 311.214286, GDX, 4003, 14, 285.928571, ZIP, 3372, 14, 240.857143, 
trial0000201, AA, 1401, 14, 100.071429, GDX, 3322, 14, 237.285714, ZIP, 3438, 14, 245.571429, 
trial0000202, AA, 3286, 14, 234.714286, GDX, 1593, 14, 113.785714, ZIP, 3208, 14, 229.142857, 
trial0000203, AA, 1533, 14, 109.500000, GDX, 3117, 14, 222.642857, ZIP, 3780, 14, 270.000000, 
trial0000204, AA, 2757, 14, 196.928571, GDX, 2768, 14, 197.714286, ZIP, 2648, 14, 189.142857, 
trial0000205, AA, 2868, 14, 204.857143, GDX, 2166, 14, 154.714286, ZIP, 2896, 14, 206.857143, 
trial0000206, AA, 3141, 14, 224.357143, GDX, 1677, 14, 119.785714, ZIP, 2679, 14, 191.357143, 
trial0000207, AA, 3454, 14, 246.714286, GDX, 2622, 14, 187.285714, ZIP, 2208, 14, 157.714286, 
trial0000208, AA, 1767, 14, 126.214286, GDX, 4377, 14, 312.642857, ZIP, 2036, 14, 145.428571, 
trial0000209, AA, 3458, 14, 247.000000, GDX, 2808, 14, 200.571429, ZIP, 1832, 14, 130.857143, 
trial0000210, AA, 3709, 14, 264.928571, GDX, 2156, 14, 154.000000, ZIP, 2358, 14, 168.428571, 
trial0000211, AA, 2634, 14, 188.142857, GDX, 3385, 14, 241.785714, ZIP, 2414, 14, 172.428571, 
trial0000212, AA, 2531, 14, 180.785714, GDX, 2240, 14, 160.000000, ZIP, 3384, 14, 241.714286, 
trial0000213, AA, 3106, 14, 221.857143, GDX, 2207, 14, 157.642857, ZIP, 2508, 14, 179.142857, 
trial0000214, AA, 2695, 14, 192.500000, GDX, 3560, 14, 254.285714, ZIP, 2157, 14, 154.071429, 
trial0000215, AA, 3339, 14, 238.500000, GDX, 1630, 14, 116.428571, ZIP, 3174, 14, 226.714286, 
trial0000216, AA, 3812, 14, 272.285714, GDX, 2954, 14, 211.000000, ZIP, 1220, 14, 87.142857, 
trial0000217, AA, 4171, 14, 297.928571, GDX, 1333, 14, 95.214286, ZIP, 2997, 14, 214.071429, 
trial0000218, AA, 4441, 14, 317.214286, GDX, 2328, 14, 166.285714, ZIP, 1767, 14, 126.214286, 
trial0000219, AA, 1256, 14, 89.714286, GDX, 2855, 14, 203.928571, ZIP, 4114, 14, 293.857143, 
trial0000220, AA, 2996, 14, 214.000000, GDX, 2447, 14, 174.785714, ZIP, 2492, 14, 178.000000, 
trial0000221, AA, 2482, 14, 177.285714, GDX, 1853, 14, 132.357143, ZIP, 4066, 14, 290.428571, 
trial0000222, AA, 1362, 14, 97.285714, GDX, 3359, 14, 239.928571, ZIP, 3076, 14, 219.714286, 
trial0000223, AA, 2586, 14, 184.714286, GDX, 2663, 14, 190.214286, ZIP, 2256, 14, 161.142857, 
