trial0033809, AA, 886, 22, 40.272727, GDX, 270, 2, 135.000000, ZIP, 243, 8, 30.375000, 
trial0033810, AA, 1120, 22, 50.909091, GDX, 0, 2, 0.000000, ZIP, 288, 8, 36.000000, 
trial0033811, AA, 554, 22, 25.181818, GDX, 114, 2, 57.000000, ZIP, 193, 8, 24.125000, 
trial0033812, AA, 582, 22, 26.454545, GDX, 58, 2, 29.000000, ZIP, 274, 8, 34.250000, 
trial0033813, AA, 720, 22, 32.727273, GDX, 21, 2, 10.500000, ZIP, 75, 8, 9.375000, 
trial0033814, AA, 607, 22, 27.590909, GDX, 42, 2, 21.000000, ZIP, 190, 8, 23.750000, 
trial0033815, AA, 628, 22, 28.545455, GDX, 4, 2, 2.000000, ZIP, 230, 8, 28.750000, 
trial0033816, AA, 681, 22, 30.954545, GDX, 23, 2, 11.500000, ZIP, 126, 8, 15.750000, 
trial0033817, AA, 665, 22, 30.227273, GDX, 0, 2, 0.000000, ZIP, 211, 8, 26.375000, 
trial0033818, AA, 608, 22, 27.636364, GDX, 91, 2, 45.500000, ZIP, 149, 8, 18.625000, 
trial0033819, AA, 615, 22, 27.954545, GDX, 4, 2, 2.000000, ZIP, 235, 8, 29.375000, 
trial0033820, AA, 577, 22, 26.227273, GDX, 5, 2, 2.500000, ZIP, 215, 8, 26.875000, 
trial0033821, AA, 673, 22, 30.590909, GDX, 38, 2, 19.000000, ZIP, 162, 8, 20.250000, 
trial0033822, AA, 583, 22, 26.500000, GDX, 152, 2, 76.000000, ZIP, 151, 8, 18.875000, 
trial0033823, AA, 485, 22, 22.045455, GDX, 56, 2, 28.000000, ZIP, 310, 8, 38.750000, 
trial0033824, AA, 653, 22, 29.681818, GDX, 0, 2, 0.000000, ZIP, 43, 8, 5.375000, 
trial0033825, AA, 463, 22, 21.045455, GDX, 122, 2, 61.000000, ZIP, 73, 8, 9.125000, 
trial0033826, AA, 589, 22, 26.772727, GDX, 175, 2, 87.500000, ZIP, 75, 8, 9.375000, 
trial0033827, AA, 393, 22, 17.863636, GDX, 67, 2, 33.500000, ZIP, 274, 8, 34.250000, 
trial0033828, AA, 393, 22, 17.863636, GDX, 55, 2, 27.500000, ZIP, 431, 8, 53.875000, 
trial0033829, AA, 445, 22, 20.227273, GDX, 82, 2, 41.000000, ZIP, 105, 8, 13.125000, 
trial0033830, AA, 661, 22, 30.045455, GDX, 67, 2, 33.500000, ZIP, 84, 8, 10.500000, 
trial0033831, AA, 718, 22, 32.636364, GDX, 9, 2, 4.500000, ZIP, 131, 8, 16.375000, 
trial0033832, AA, 661, 22, 30.045455, GDX, 7, 2, 3.500000, ZIP, 140, 8, 17.500000, 
