trial0001253, AA, 4468, 20, 223.400000, ZIP, 5582, 20, 279.100000, 
trial0001254, AA, 5917, 20, 295.850000, ZIP, 4766, 20, 238.300000, 
trial0001255, AA, 6059, 20, 302.950000, ZIP, 4423, 20, 221.150000, 
trial0001256, AA, 5134, 20, 256.700000, ZIP, 5122, 20, 256.100000, 
trial0001257, AA, 7129, 20, 356.450000, ZIP, 3543, 20, 177.150000, 
trial0001258, AA, 3795, 20, 189.750000, ZIP, 6704, 20, 335.200000, 
trial0001259, AA, 4340, 20, 217.000000, ZIP, 6022, 20, 301.100000, 
trial0001260, AA, 4130, 20, 206.500000, ZIP, 5787, 20, 289.350000, 
trial0001261, AA, 5801, 20, 290.050000, ZIP, 4643, 20, 232.150000, 
trial0001262, AA, 5222, 20, 261.100000, ZIP, 4867, 20, 243.350000, 
trial0001263, AA, 6620, 20, 331.000000, ZIP, 3574, 20, 178.700000, 
trial0001264, AA, 5218, 20, 260.900000, ZIP, 4676, 20, 233.800000, 
trial0001265, AA, 6221, 20, 311.050000, ZIP, 4282, 20, 214.100000, 
trial0001266, AA, 5413, 20, 270.650000, ZIP, 4967, 20, 248.350000, 
trial0001267, AA, 4455, 20, 222.750000, ZIP, 6309, 20, 315.450000, 
trial0001268, AA, 6630, 20, 331.500000, ZIP, 3879, 20, 193.950000, 
trial0001269, AA, 6933, 20, 346.650000, ZIP, 3741, 20, 187.050000, 
trial0001270, AA, 3989, 20, 199.450000, ZIP, 6160, 20, 308.000000, 
trial0001271, AA, 4412, 20, 220.600000, ZIP, 5770, 20, 288.500000, 
trial0001272, AA, 5935, 20, 296.750000, ZIP, 4298, 20, 214.900000, 
trial0001273, AA, 5922, 20, 296.100000, ZIP, 4302, 20, 215.100000, 
trial0001274, AA, 5283, 20, 264.150000, ZIP, 5241, 20, 262.050000, 
trial0001275, AA, 6183, 20, 309.150000, ZIP, 4218, 20, 210.900000, 
trial0001276, AA, 6303, 20, 315.150000, ZIP, 4062, 20, 203.100000, 
trial0001277, AA, 4740, 20, 237.000000, ZIP, 5463, 20, 273.150000, 
trial0001278, AA, 4526, 20, 226.300000, ZIP, 6040, 20, 302.000000, 
trial0001279, AA, 5314, 20, 265.700000, ZIP, 5310, 20, 265.500000, 
trial0001280, AA, 5213, 20, 260.650000, ZIP, 5170, 20, 258.500000, 
trial0001281, AA, 3299, 20, 164.950000, ZIP, 6699, 20, 334.950000, 
trial0001282, AA, 5507, 20, 275.350000, ZIP, 4730, 20, 236.500000, 
trial0001283, AA, 4542, 20, 227.100000, ZIP, 5710, 20, 285.500000, 
trial0001284, AA, 5336, 20, 266.800000, ZIP, 4533, 20, 226.650000, 
trial0001285, AA, 7239, 20, 361.950000, ZIP, 3189, 20, 159.450000, 
trial0001286, AA, 6271, 20, 313.550000, ZIP, 4344, 20, 217.200000, 
trial0001287, AA, 5267, 20, 263.350000, ZIP, 5189, 20, 259.450000, 
trial0001288, AA, 3940, 20, 197.000000, ZIP, 6228, 20, 311.400000, 
trial0001289, AA, 4147, 20, 207.350000, ZIP, 6236, 20, 311.800000, 
trial0001290, AA, 5334, 20, 266.700000, ZIP, 5174, 20, 258.700000, 
trial0001291, AA, 5977, 20, 298.850000, ZIP, 4291, 20, 214.550000, 
trial0001292, AA, 6145, 20, 307.250000, ZIP, 4384, 20, 219.200000, 
trial0001293, AA, 4091, 20, 204.550000, ZIP, 5841, 20, 292.050000, 
trial0001294, AA, 4406, 20, 220.300000, ZIP, 6112, 20, 305.600000, 
trial0001295, AA, 5445, 20, 272.250000, ZIP, 4671, 20, 233.550000, 
trial0001296, AA, 4679, 20, 233.950000, ZIP, 5651, 20, 282.550000, 
trial0001297, AA, 4612, 20, 230.600000, ZIP, 5893, 20, 294.650000, 
trial0001298, AA, 4532, 20, 226.600000, ZIP, 5677, 20, 283.850000, 
trial0001299, AA, 6729, 20, 336.450000, ZIP, 3383, 20, 169.150000, 
trial0001300, AA, 4180, 20, 209.000000, ZIP, 6215, 20, 310.750000, 
trial0001301, AA, 5976, 20, 298.800000, ZIP, 6222, 20, 311.100000, 
trial0001302, AA, 7890, 20, 394.500000, ZIP, 5315, 20, 265.750000, 
trial0001303, AA, 7564, 20, 378.200000, ZIP, 5281, 20, 264.050000, 
trial0001304, AA, 4362, 20, 218.100000, ZIP, 7804, 20, 390.200000, 
trial0001305, AA, 3970, 20, 198.500000, ZIP, 8810, 20, 440.500000, 
trial0001306, AA, 5621, 20, 281.050000, ZIP, 7749, 20, 387.450000, 
trial0001307, AA, 6477, 20, 323.850000, ZIP, 6624, 20, 331.200000, 
trial0001308, AA, 8610, 20, 430.500000, ZIP, 4689, 20, 234.450000, 
trial0001309, AA, 7543, 20, 377.150000, ZIP, 5365, 20, 268.250000, 
trial0001310, AA, 6540, 20, 327.000000, ZIP, 6375, 20, 318.750000, 
trial0001311, AA, 4530, 20, 226.500000, ZIP, 7052, 20, 352.600000, 
trial0001312, AA, 5449, 20, 272.450000, ZIP, 6960, 20, 348.000000, 
trial0001313, AA, 4098, 20, 204.900000, ZIP, 7420, 20, 371.000000, 
trial0001314, AA, 6272, 20, 313.600000, ZIP, 5997, 20, 299.850000, 
trial0001315, AA, 6994, 20, 349.700000, ZIP, 6564, 20, 328.200000, 
trial0001316, AA, 5610, 20, 280.500000, ZIP, 7502, 20, 375.100000, 
trial0001317, AA, 7007, 20, 350.350000, ZIP, 6122, 20, 306.100000, 
trial0001318, AA, 6651, 20, 332.550000, ZIP, 6177, 20, 308.850000, 
trial0001319, AA, 8556, 20, 427.800000, ZIP, 4486, 20, 224.300000, 
trial0001320, AA, 4523, 20, 226.150000, ZIP, 8256, 20, 412.800000, 
trial0001321, AA, 4663, 20, 233.150000, ZIP, 8873, 20, 443.650000, 
trial0001322, AA, 6241, 20, 312.050000, ZIP, 6211, 20, 310.550000, 
trial0001323, AA, 6391, 20, 319.550000, ZIP, 6787, 20, 339.350000, 
trial0001324, AA, 6524, 20, 326.200000, ZIP, 6404, 20, 320.200000, 
trial0001325, AA, 5886, 20, 294.300000, ZIP, 7548, 20, 377.400000, 
trial0001326, AA, 2040, 20, 102.000000, ZIP, 9860, 20, 493.000000, 
trial0001327, AA, 6431, 20, 321.550000, ZIP, 7076, 20, 353.800000, 
trial0001328, AA, 6183, 20, 309.150000, ZIP, 6228, 20, 311.400000, 
trial0001329, AA, 6370, 20, 318.500000, ZIP, 6338, 20, 316.900000, 
trial0001330, AA, 5010, 20, 250.500000, ZIP, 7570, 20, 378.500000, 
trial0001331, AA, 7611, 20, 380.550000, ZIP, 5162, 20, 258.100000, 
trial0001332, AA, 6224, 20, 311.200000, ZIP, 6185, 20, 309.250000, 
trial0001333, AA, 5083, 20, 254.150000, ZIP, 7906, 20, 395.300000, 
