trial0000243, AA, 7960, 38, 209.473684, GDX, 1028, 2, 514.000000, 
trial0000244, AA, 8562, 38, 225.315789, GDX, 374, 2, 187.000000, 
trial0000245, AA, 9364, 38, 246.421053, GDX, 0, 2, 0.000000, 
trial0000246, AA, 8939, 38, 235.236842, GDX, 473, 2, 236.500000, 
trial0000247, AA, 8027, 38, 211.236842, GDX, 894, 2, 447.000000, 
trial0000248, AA, 8008, 38, 210.736842, GDX, 1075, 2, 537.500000, 
trial0000249, AA, 9140, 38, 240.526316, GDX, 251, 2, 125.500000, 
trial0000250, AA, 8995, 38, 236.710526, GDX, 227, 2, 113.500000, 
trial0000251, AA, 8918, 38, 234.684211, GDX, 437, 2, 218.500000, 
trial0000252, AA, 7711, 38, 202.921053, GDX, 1320, 2, 660.000000, 
trial0000253, AA, 9539, 38, 251.026316, GDX, 0, 2, 0.000000, 
trial0000254, AA, 8747, 38, 230.184211, GDX, 573, 2, 286.500000, 
trial0000255, AA, 8966, 38, 235.947368, GDX, 162, 2, 81.000000, 
trial0000256, AA, 8147, 38, 214.394737, GDX, 660, 2, 330.000000, 
trial0000257, AA, 8283, 38, 217.973684, GDX, 591, 2, 295.500000, 
trial0000258, AA, 9445, 38, 248.552632, GDX, 0, 2, 0.000000, 
trial0000259, AA, 8237, 38, 216.763158, GDX, 703, 2, 351.500000, 
trial0000260, AA, 8665, 38, 228.026316, GDX, 691, 2, 345.500000, 
trial0000261, AA, 9349, 38, 246.026316, GDX, 0, 2, 0.000000, 
trial0000262, AA, 9249, 38, 243.394737, GDX, 0, 2, 0.000000, 
trial0000263, AA, 7829, 38, 206.026316, GDX, 1037, 2, 518.500000, 
trial0000264, AA, 8677, 38, 228.342105, GDX, 272, 2, 136.000000, 
trial0000265, AA, 8784, 38, 231.157895, GDX, 0, 2, 0.000000, 
trial0000266, AA, 8706, 38, 229.105263, GDX, 478, 2, 239.000000, 
trial0000267, AA, 9085, 38, 239.078947, GDX, 237, 2, 118.500000, 
trial0000268, AA, 9030, 38, 237.631579, GDX, 222, 2, 111.000000, 
trial0000269, AA, 8724, 38, 229.578947, GDX, 563, 2, 281.500000, 
